"País","InscPrim","InscSecu","Años Obligatorios de Educacion"
"Afganistán",6544906,3063889,9
"Albania",170861,268872,9
"Alemania",2987112,6948797.42,13
"América del Norte",27368825.68,27529397.03,11
"América Latina y el Caribe",63354465.1,64143436.68,13
"América Latina y el Caribe",63354465.1,64139595.22,13
"América Latina y el Caribe",63350601.31,64139595.22,13
"América Latina y el Caribe",63350601.31,64143436.68,13
"Andorra",4325,4513,10
"Antigua y Barbuda",10123,7856,11
"Arabia Saudita",3298788,3108384,9
"Armenia",153415,234983,12
"Australia",2247875,2379962,10
"Austria",339021.8333,687386.106,13
"Azerbaiyán",635153,945226,10
"Bahamas",29504,26884,12
"Bahrein",113878,99026,9
"Bangladesh",17338100,15869820,5
"Barbados",20218,19571,11
"Bélgica",821236,1179334,12
"Belice",50764,40353,8
"Bosnia y Herzegovina",159380,247714,9
"Brasil",15951913,22863908,14
"Brunei Darussalam",39472,44079,9
"Bulgaria",262735,489665,11
"Burkina Faso",3206060,1281007,10
"Cabo Verde",64127,53355,10
"Canadá",2407006,2654199,10
"Chad",2419675,511841,10
"Chile",1540085,1522145,12
"China",101872977,84321859,9
"Chipre",57079,54966,10
"Colombia",4303833,4821029,12
"Comoras",124240,73695,6
"Costa Rica",483770,476668,13
"Croacia",161740,332460,8
"Cuba",741269,795057,9
"Dinamarca",468362,531247,10
"Djibouti",62979,65144,10
"Ecuador",1932261,1891648,15
"El Salvador",662740,521576,15
"Eritrea",349753,260421,8
"Eslovenia",129123,147003,9
"España",3043396,3371069,10
"Estonia",88107,84017.25,9
"Filipinas",13418841,10562477,13
"Finlandia",368852,546469,10
"Francia",4302412,6109604,10
"Georgia",305368,280425,9
"Ghana",4401194,2677145,11
"Granada",13195,9135,12
"Grecia",643187,668196,10
"Guatemala",2362116,1227191,16
"Hungría",373837,808569,13
"Indonesia",29425748,24893570,9
"Irlanda",564304,491761,10
"Islandia",32421,35171,10
"Islas Caimán",4299,3476,12
"Islas Turcas y Caicos",3680,2316,13
"Islas Vírgenes Británicas",2529,1731,12
"Israel",936214,836774,15
"Italia",2870763,4630438,12
"Jamaica",248836,200563,6
"Japón",6504523,6995597,9
"Kazajstán",1406967,1842919,9
"Letonia",121674,117326,11
"Líbano",509280,402502,10
"Liechtenstein",1999,3087,9
"Lituania",116626,232993,10
"Luxemburgo",38173,48749,12
"Madagascar",4860888,1548208,5
"Malawi",4441839,1040975,8
"Maldivas",47236,22765,7
"Malta",26532,30925,11
"Marruecos",4322623,2871043,9
"Mauritania",655261,236775,9
"México",14061377,14160635,14
"Mónaco",1981,3426,11
"Montenegro",39288,57085,9
"Mundo",729577641,597118229,10
"Mundo",729577641,597118229,10
"Mundo",729577641,597118229,10
"Mundo",729577641,597118229,10
"Myanmar",5299765,4186742,5
"Noruega",447355,449330,10
"Omán",278745,422440,10
"Países Bajos",1175018,1632486,13
"Pakistán",22931305,13357618,12
"Perú",3592865,2779973,14
"Polonia",2277483,2392353,10
"Portugal",621660,767094,12
"Puerto Rico",208544,218923,13
"República de Moldova",140141,226281,11
"República Dominicana",1226414,924714,15
"Rumania",947931,1457948,10
"San Marino",1698,1653,10
"San Vicente y las Granadinas",13198,9808,12
"Santa Lucía",15874,11792,10
"Serbia",266759,534106,8
"Seychelles",9258,7459,10
"Singapur",233553,166709,6
"Sri Lanka",1725424,2727965,11
"Sudáfrica",7568387,4878960,9
"Suecia",893495,934541,9
"Suiza",514664,608878,11
"Tailandia",4900785,6265551,9
"Tuvalu",1324,1089,8
"Ucrania",1676550,2376848,11
"Uruguay",296791,355851,14
"Uzbekistán",2485178,3949245,12
